INSTNM,STABBR,CONTROL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,UGDS,PCTFLOAN,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,NPT4,RPY_3YR_70
Appalachian State University,NC,public,575,575,550,25,26,25,7,16116,0.4698,36400,20000,0.7422360248,14165,1
Duke University,NC,private,715,745,735,33,33,34,9,6480,0.313,76700,7500,0.9007506255,25369,1
East Carolina University,NC,public,510,530,490,22,22,22,7,21207,0.5681,39000,24360,0.6321559074,14981,0
Fayetteville State University,NC,public,435,450,405,19,18,19,7,4862,0.6723,30500,21278,0.2539048311,6794,0
Greensboro College,NC,private,435,445,410,18,17,18,7,741,0.732,34900,26000,0.5309597523,21547,0
Methodist University,NC,private,470,475,445,21,19,21,7,2171,0.5818,38800,27000,0.4973730298,22483,0
University of North Carolina at Chapel Hill,NC,public,650,670,645,30,31,30,9,17908,0.3198,51000,16149,0.8194902549,13243,1
University of North Carolina at Charlotte,NC,public,530,555,520,23,22,24,7,22120,0.5881,41500,23187,0.6318467926,12479,0
University of North Carolina at Greensboro,NC,public,515,515,485,23,23,22,7,14497,0.576,36000,22864,0.5750934421,12186,0
North Carolina State University at Raleigh,NC,public,605,640,585,28,28,28,8,22925,0.4176,47600,20500,0.7625666721,14811,1
University of North Carolina Wilmington,NC,public,590,600,570,24,25,24,8,12686,0.5178,39400,20584,0.6196646341,15604,0
Dickinson State University,ND,public,460,425,453,21,19,21,7,1231,0.4479,38800,19500,0.7665505226,10703,1
Case Western Reserve University,OH,private,660,710,660,31,32,32,9,4807,0.5419,68600,24250,0.8299373041,26647,1
University of Cincinnati-Main Campus,OH,public,570,595,550,26,25,26,8,23795,0.5409,38900,23100,0.5656231628,22054,0
Cleveland State University,OH,public,515,520,495,22,21,21,7,11308,0.6196,38600,22656,0.4679549114,16558,0
Columbus College of Art and Design,OH,private,555,535,520,22,23,21,7,1193,0.6803,31700,27000,0.6165951359,31901,0
Kent State University at Kent,OH,public,525,525,510,23,22,23,7,22530,0.6208,36000,25997,0.4580105186,18703,0
Kenyon College,OH,private,675,650,670,30,31,28,9,1651,0.2985,44700,19000,0.8841059603,29203,1
Muskingum University,OH,private,490,510,480,22,21,22,7,1598,0.7789,38100,27000,0.6802721088,18589,0
Ohio State University-Main Campus,OH,public,600,675,610,29,29,29,9,43733,0.4401,42900,21959.5,0.6275016494,18068,0
Ohio University-Main Campus,OH,public,545,545,525,24,24,23,8,23390,0.5722,39600,21250,0.5127525433,20351,0
University of Toledo,OH,public,508,535,485,22,22,22,7,15182,0.5686,40000,24000,0.4563459146,14749,0
Ursuline College,OH,private,510,520,485,22,21,21,7,694,0.8472,42300,28000,0.5614814815,15098,0
The College of Wooster,OH,private,595,615,595,28,28,27,8,2029,0.4943,46400,26000,0.7715827338,23904,1
Oklahoma Christian University,OK,private,540,540,525,25,24,25,7,1938,0.5321,36900,24500,0.7152917505,18707,1
Oklahoma City University,OK,private,585,580,560,26,27,25,8,1793,0.4666,40100,23835,0.6634146341,31694,0
Eastern Oregon University,OR,public,470,465,450,21,19,20,7,2997,0.5482,37200,22466,0.4941804074,15551,0
George Fox University,OR,private,540,545,525,23,24,23,8,2494,0.6464,41700,22000,0.7317307692,24600,1
Oregon State University,OR,public,545,560,525,25,24,25,8,22925,0.5067,46000,23000,0.6611401978,18202,0
University of Oregon,OR,public,550,560,545,25,25,24,8,20252,0.393,41700,21500,0.6092891331,15487,0
Western Oregon University,OR,public,515,500,490,21,20,20,8,4923,0.6276,38700,24500,0.5329883571,16759,0
Bryn Mawr College,PA,private,655,665,675,29,31,28,9,1303,0.3983,53600,25000,0.8315789474,27518,1
Bucknell University,PA,private,635,670,655,30,31,30,10,3528,0.3938,69100,27000,0.9083526682,32487,1
Delaware Valley University,PA,private,490,500,470,21,20,21,7,1823,0.694,39500,26551,0.7656395892,26975,1
Haverford College,PA,private,710,700,705,33,33,31,9,1187,0.2266,56600,14000,0.8921568627,22112,1
Holy Family University,PA,private,465,460,449,20,19,20,10,1797,0.6705,48500,27000,0.6660533579,14959,0
La Roche College,PA,private,450,475,470,20,19,20,7,1269,0.741,40700,25000,0.6690042076,21609,0
Lafayette College,PA,private,630,670,635,29,30,29,9,2471,0.3717,68800,25185,0.8923357664,30759,1
Pennsylvania State University-Penn State Erie-Behrend College,PA,public,510,545,485,23,22,23,7,3891,0.6921,47700,27000,0.7054350978,22431,1
Pennsylvania State University-Penn State New Kensington,PA,public,485,490,450,20,17,18,7,627,0.6691,47700,27000,0.7054350978,13332,1
Pennsylvania State University-Penn State Shenango,PA,public,435,430,410,20,19,20,7,468,0.7201,47700,27000,0.7054350978,14885,1
Pennsylvania State University-Penn State Wilkes-Barre,PA,public,475,490,460,19,17,21,7,493,0.6287,47700,27000,0.7054350978,14482,1
Pennsylvania State University-Penn State Worthington Scranton,PA,public,475,485,455,20,20,19,7,1073,0.7207,47700,27000,0.7054350978,13297,1
Pennsylvania State University-Penn State Lehigh Valley,PA,public,493,510,480,22,21,22,7,775,0.5951,47700,27000,0.7054350978,13730,1
Pennsylvania State University-Penn State Altoona,PA,public,495,505,480,22,22,22,8,3829,0.6879,47700,27000,0.7054350978,22193,1
Pennsylvania State University-Penn State Beaver,PA,public,475,485,450,19,17,21,7,665,0.6743,47700,27000,0.7054350978,16357,1
Pennsylvania State University-Penn State Berks,PA,public,475,495,460,22,21,21,7,2699,0.6726,47700,27000,0.7054350978,22159,1
Pennsylvania State University-Penn State Harrisburg,PA,public,490,530,485,23,23,25,7,3595,0.6176,47700,27000,0.7054350978,20444,1
Pennsylvania State University-Penn State Brandywine,PA,public,470,495,463,22,21,22,7,1334,0.5999,47700,27000,0.7054350978,13608,1
Pennsylvania State University-Penn State DuBois,PA,public,455,470,443,20,18,19,9,490,0.6989,47700,27000,0.7054350978,14532,1
Pennsylvania State University-Penn State Fayette- Eberly,PA,public,455,455,425,21,18,22,7,666,0.6608,47700,27000,0.7054350978,13164,1
Pennsylvania State University-Penn State Hazleton,PA,public,470,475,455,21,19,21,7,803,0.7413,47700,27000,0.7054350978,19332,1
Pennsylvania State University-Main Campus,PA,public,575,615,590,27,27,28,9,39958,0.5021,47700,27000,0.7054350978,28201,1
Pennsylvania State University-Penn State Greater Allegheny,PA,public,475,490,455,21,22,21,8,554,0.6677,47700,27000,0.7054350978,15757,1
Pennsylvania State University-Penn State Mont Alto,PA,public,470,475,445,22,21,22,7,837,0.6703,47700,27000,0.7054350978,19975,1
Pennsylvania State University-Penn State Abington,PA,public,460,490,460,21,21,22,7,3505,0.5883,47700,27000,0.7054350978,11843,1
Pennsylvania State University-Penn State Schuylkill,PA,public,450,450,440,19,17,19,8,755,0.7324,47700,27000,0.7054350978,15403,1
Pennsylvania State University-Penn State York,PA,public,495,525,475,22,20,22,7,948,0.5416,47700,27000,0.7054350978,13391,1
University of Pennsylvania,PA,private,720,735,735,33,34,32,9,10678,0.2226,79700,21500,0.8651633686,24370,1
University of Pittsburgh-Bradford,PA,public,480,500,450,22,22,23,7,1466,0.7927,48800,26813.5,0.7562221397,16811,1
University of Pittsburgh-Greensburg,PA,public,505,510,490,21,21,22,8,1578,0.7072,48800,26813.5,0.7562221397,16954,1
University of Pittsburgh-Johnstown,PA,public,500,515,480,22,23,22,7,2864,0.7419,48800,26813.5,0.7562221397,19420,1
University of Pittsburgh-Pittsburgh Campus,PA,public,625,645,620,29,30,29,9,18474,0.5447,48800,26813.5,0.7562221397,28000,1
University of Pittsburgh-Titusville,PA,public,445,440,425,18,16,18,7,367,0.842,48800,26813.5,0.7562221397,17217,1
Swarthmore College,PA,private,725,725,723,32,33,32,9,1530,0.2445,48500,18100,0.877394636,22937,1
Temple University,PA,public,555,565,545,25,25,25,8,27669,0.6599,47200,25999.5,0.6847860289,19918,0
Rhode Island College,RI,public,460,460,455,19,18,18,7,7271,0.575,39100,21500,0.59936407,9509,0
Lander University,SC,public,465,475,445,20,20,20,7,2670,0.6708,33600,27000,0.4730496454,13203,0
North Greenville University,SC,private,550,565,550,26,25,25,8,2183,0.456,29600,21500,0.6078199052,21132,0
Spartanburg Methodist College,SC,private,430,440,415,18,17,19,7,790,0.6614,28400,12000,0.4489465154,13210,0
Wofford College,SC,private,580,585,570,27,26,26,8,1654,0.3957,49700,25000,0.7915407855,22563,1
Bryan College-Dayton,TN,private,525,515,515,23,24,22,8,1124,0.52,34300,18625,0.7183098592,15239,1
Cumberland University,TN,private,475,500,450,23,22,21,6,1167,0.6438,38200,21875,0.5733788396,18316,0
University of Memphis,TN,public,510,505,500,22,23,21,7,16093,0.6173,35700,25250,0.3530763339,12661,0
Vanderbilt University,TN,private,745,760,725,33,34,33,9,6818,0.1356,60700,13000,0.8433395872,17135,1
Abilene Christian University,TX,private,530,545,565,24,24,24,7,3572,0.5527,40200,25985,0.6850961538,22705,0
Baylor University,TX,private,610,620,585,27,28,27,8,13801,0.452,48200,25131,0.7305615551,32741,1
Texas A & M University-Corpus Christi,TX,public,480,490,460,21,19,21,7,9074,0.5399,41200,23000,0.5382817066,14165,0
University of Dallas,TX,private,615,585,580,27,28,26,8,1324,0.5051,44800,23250,0.7419354839,25093,1
Texas A & M University-Texarkana,TX,public,430,420,440,19,18,19,6,1386,0.4604,34400,12500,0.5173745174,6637,0
Houston Baptist University,TX,private,525,530,500,23,22,22,7,2279,0.5749,44000,25000,0.4802831143,20075,0
Midwestern State University,TX,public,495,505,465,21,21,21,7,5142,0.518,38900,22500,0.5873015873,10823,0
The University of Texas Rio Grande Valley,TX,public,470,490,460,20,19,20,7,17811,0.3816,39600,12036.5,0.5032333921,2840,0
Paul Quinn College,TX,private,537,572,527,22,23,22,7,272,0.7819,27100,38125,0.1794871795,12655,0
Prairie View A & M University,TX,public,415,435,405,18,16,18,6,6905,0.7812,34100,28554,0.2737161649,9583,0
Rice University,TX,private,720,750,720,33,34,33,9,3888,0.1682,64500,9641.5,0.862745098,16466,1
University of St Thomas,TX,private,545,560,530,25,25,24,8,1563,0.4218,47800,23823,0.6168717047,19131,0
Schreiner University,TX,private,485,505,460,22,20,22,7,1001,0.8291,36400,25000,0.6010016694,20218,0
Southern Methodist University,TX,private,645,665,648,30,31,29,9,6340,0.3127,54600,22500,0.759415834,32128,1
Texas State University,TX,public,510,515,485,23,22,23,7,32177,0.5268,43400,21358.5,0.558738722,13363,0
Tarleton State University,TX,public,470,485,450,21,19,21,7,10214,0.5521,40600,20500,0.5733167082,15210,0
Texas A & M University-College Station,TX,public,580,615,550,27,27,27,8,46941,0.332,53900,19000,0.8084356755,11315,1
The University of Texas at Arlington,TX,public,494,550,495,23,22,23,7,29616,0.5824,45900,18750,0.5545582048,13790,0
The University of Texas at Austin,TX,public,630,660,625,29,30,30,9,38914,0.3818,53000,22159.5,0.7692233571,17152,1
The University of Texas at Tyler,TX,public,515,537,500,23,23,23,7,5550,0.4344,42200,18345,0.5906068163,13016,0
The University of Texas at San Antonio,TX,public,505,535,485,22,21,22,12,23815,0.5219,43100,23348,0.5478207704,11867,0
Texas Southern University,TX,public,400,415,390,17,15,17,10,6880,0.7206,30500,31000,0.1965829146,18023,0
Texas Tech University,TX,public,540,560,515,25,24,25,7,28278,0.481,47500,22500,0.6677000119,15315,0
Texas Woman's University,TX,public,470,485,465,20,19,21,7,9327,0.5573,44600,20000,0.5389250422,8855,0
Southern Utah University,UT,public,515,510,495,23,23,22,7,5514,0.3447,38100,13237,0.672889266,12951,0
University of Utah,UT,public,570,585,550,25,25,24,8,22804,0.3394,49500,15000,0.7122291256,13874,1
University of Vermont,VT,public,590,595,590,27,27,27,9,9958,0.4617,43900,21614.5,0.84621802,15838,1
College of William and Mary,VA,public,685,685,670,31,32,30,8,6256,0.2887,55000,19500,0.8521008403,17194,1
Hampton University,VA,private,505,500,350,21,23,21,5,3456,0.7469,41200,27000,0.4264633546,26326,0
Roanoke College,VA,private,550,545,535,23,24,22,7,1986,0.6994,44000,27000,0.7675276753,27088,1
Southern Virginia University,VA,private,519,517,485,23,23,21,9,703,0.6112,31300,24185,0.5942028986,19985,0
University of Virginia-Main Campus,VA,public,670,685,670,31,32,31,9,15515,0.2506,60100,19633,0.8512861736,17863,1
Central Washington University,WA,public,485,490,460,21,20,21,8,9751,0.5459,44500,21500,0.6199199832,14182,0
Eastern Washington University,WA,public,475,485,455,20,19,21,7,12402,0.5201,41000,20800,0.6293797606,12619,0
The Evergreen State College,WA,public,545,495,510,23,24,21,7,3802,0.5332,32800,17264,0.587124879,12971,0
Seattle University,WA,private,585,585,580,27,25,24,9,4415,0.5347,55800,25000,0.7293447293,32996,1
Walla Walla University,WA,private,540,540,505,23,23,22,7,1639,0.5907,45500,27000,0.6600985222,23107,0
Washington State University,WA,public,510,520,495,22,22,22,7,23585,0.487,47500,20500,0.7334455668,16864,1
University of Washington-Seattle Campus,WA,public,590,640,580,28,28,29,9,29468,0.3214,53700,15797,0.75714431,13566,1
Alderson Broaddus University,WV,private,475,485,460,22,20,21,6,1024,0.8945,46000,27000,0.6692708333,17311,0
Concord University,WV,public,475,485,455,22,22,20,7,2234,0.7187,32100,21200,0.5290697674,7478,0
Carroll University,WI,private,527,542,485,24,23,24,8,2934,0.7137,41300,27000,0.75238795,22858,1
Lakeland College,WI,private,440,452,448,20,19,20,7,2232,0.645,40200,26915,0.5836012862,20575,0
Marquette University,WI,private,590,605,570,27,27,27,9,8212,0.4881,56000,27000,0.7946933449,30452,1
Ripon College,WI,private,565,575,565,24,24,24,7,820,0.656,42000,27000,0.7938388626,18325,1
University of Wisconsin-Whitewater,WI,public,495,480,485,23,22,22,7,10533,0.6329,41400,25000,0.6852996506,13815,0
University of Wisconsin-Madison,WI,public,610,680,635,29,29,29,9,29302,0.3617,51600,22805,0.8435530967,18397,1
University of the Virgin Islands,VI,public,400,390,405,18,18,17,7,1971,0.3224,31800,15150,0.3928571429,11672,0
University of Washington-Bothell Campus,WA,public,490,525,485,21,19,22,7,4378,0.3989,53700,15797,0.75714431,11505,1
University of Washington-Tacoma Campus,WA,public,485,495,460,21,20,21,7,3788,0.503,53700,15797,0.75714431,10087,1
Watkins College of Art Design & Film,TN,private,435,410,453,22,22,22,8,288,0.5785,28300,29125,0.5108695652,28764,0
Florida Gulf Coast University,FL,public,530,520,525,23,23,23,8,13253,0.4578,41400,18750,0.5800473186,13624,0
University of South Florida-St Petersburg,FL,public,590,570,565,26,26,25,8,3829,0.4631,41000,19500,0.5623737766,11595,0
University of South Florida-Sarasota-Manatee,FL,public,570,550,540,24,24,24,7,1690,0.4603,41000,19500,0.5623737766,6175,0
University of Minnesota-Rochester,MN,public,535,670,595,24,23,25,8,479,0.6687,48300,20500,0.740544362,18769,1
Pennsylvania State University-World Campus,PA,public,510,505,490,25,23,21,7,5736,0.5641,47700,27000,0.7054350978,22264,1
